group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,multiple-read.c,,,98342607.0,ns,4
Path Exploration Strategies,Coin Flip,multiple-read.c,,,196118089.0,ns,8
Path Exploration Strategies,Coin Flip,multiple-read.c,,,293981700.0,ns,12
Path Exploration Strategies,Coin Flip,multiple-read.c,,,392431593.0,ns,16
Path Exploration Strategies,Coin Flip,multiple-read.c,,,490554508.0,ns,20
Path Exploration Strategies,Coin Flip,multiple-read.c,,,589120767.0,ns,24
Path Exploration Strategies,Coin Flip,multiple-read.c,,,687780516.0,ns,28
Path Exploration Strategies,Coin Flip,multiple-read.c,,,784457215.0,ns,32
Path Exploration Strategies,Coin Flip,multiple-read.c,,,882538815.0,ns,36
Path Exploration Strategies,Coin Flip,multiple-read.c,,,980800858.0,ns,40
