group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,92335555.0,ns,2
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,184809508.0,ns,4
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,442699815.0,ns,6
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,535869379.0,ns,8
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,580498515.0,ns,10
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,766986342.0,ns,12
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,859569510.0,ns,14
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,975921882.0,ns,16
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,1045547567.0,ns,18
Path Exploration Strategies,Coin Flip,simple-assignment-1-35.c,,,1138248823.0,ns,20
