group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,multiple-read.c,,,97900912.0,ns,4
Path Exploration Strategies,Shortest Path,multiple-read.c,,,196003409.0,ns,8
Path Exploration Strategies,Shortest Path,multiple-read.c,,,294168010.0,ns,12
Path Exploration Strategies,Shortest Path,multiple-read.c,,,391954975.0,ns,16
Path Exploration Strategies,Shortest Path,multiple-read.c,,,490073654.0,ns,20
Path Exploration Strategies,Shortest Path,multiple-read.c,,,587714555.0,ns,24
Path Exploration Strategies,Shortest Path,multiple-read.c,,,685869798.0,ns,28
Path Exploration Strategies,Shortest Path,multiple-read.c,,,783612744.0,ns,32
Path Exploration Strategies,Shortest Path,multiple-read.c,,,881796986.0,ns,36
Path Exploration Strategies,Shortest Path,multiple-read.c,,,979322438.0,ns,40
