group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,long-loop-fixed.o,,,53419813.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53405717.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53436966.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53402352.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53350508.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53438308.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53406575.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53390678.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53439192.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53381740.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53415509.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53422120.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53406477.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53400109.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53427426.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53402146.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53389453.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53414665.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53407014.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53404109.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53430087.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53430381.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53376534.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53419295.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53378127.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53445305.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53438187.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53405653.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53401746.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53415137.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53365344.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53422599.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53401585.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53350064.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53376605.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53409011.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53402573.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53374630.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53434740.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53401712.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53388863.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53389179.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53380428.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53417071.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53431826.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53425962.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53425045.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53395973.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53383484.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53406450.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53363752.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53465240.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53416895.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53427319.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53418782.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53424820.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53526793.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53430410.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53403738.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53454834.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53445880.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53420890.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53412501.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53451764.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53453523.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53429944.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53449085.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53463226.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53389569.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53409914.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53445089.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53422615.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53425404.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53456078.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53430990.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53394182.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53443112.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53417607.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53404256.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53421374.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53404969.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53419944.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53427215.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53427837.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53416351.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53428803.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53424109.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53438731.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53416766.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53408554.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53435716.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53432428.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53415015.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53432086.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53435975.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53408948.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53434924.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53435629.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53474834.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53391858.0,ns,9
