group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,long-loop-fixed.o,,,1746602.0,ns,1
Engine,Rarity,long-loop-fixed.o,,,3206366.0,ns,2
Engine,Rarity,long-loop-fixed.o,,,4810375.0,ns,3
Engine,Rarity,long-loop-fixed.o,,,6394592.0,ns,4
Engine,Rarity,long-loop-fixed.o,,,7985071.0,ns,5
Engine,Rarity,long-loop-fixed.o,,,9600903.0,ns,6
Engine,Rarity,long-loop-fixed.o,,,11194398.0,ns,7
Engine,Rarity,long-loop-fixed.o,,,12814921.0,ns,8
Engine,Rarity,long-loop-fixed.o,,,14391487.0,ns,9
Engine,Rarity,long-loop-fixed.o,,,15984764.0,ns,10
Engine,Rarity,long-loop-fixed.o,,,17629641.0,ns,11
Engine,Rarity,long-loop-fixed.o,,,19209499.0,ns,12
Engine,Rarity,long-loop-fixed.o,,,20758914.0,ns,13
Engine,Rarity,long-loop-fixed.o,,,22397697.0,ns,14
Engine,Rarity,long-loop-fixed.o,,,24037594.0,ns,15
Engine,Rarity,long-loop-fixed.o,,,25631639.0,ns,16
Engine,Rarity,long-loop-fixed.o,,,27233043.0,ns,17
Engine,Rarity,long-loop-fixed.o,,,28804328.0,ns,18
Engine,Rarity,long-loop-fixed.o,,,30391171.0,ns,19
Engine,Rarity,long-loop-fixed.o,,,31982450.0,ns,20
Engine,Rarity,long-loop-fixed.o,,,33568473.0,ns,21
Engine,Rarity,long-loop-fixed.o,,,35217464.0,ns,22
Engine,Rarity,long-loop-fixed.o,,,36784494.0,ns,23
Engine,Rarity,long-loop-fixed.o,,,38422165.0,ns,24
Engine,Rarity,long-loop-fixed.o,,,40009309.0,ns,25
Engine,Rarity,long-loop-fixed.o,,,41616923.0,ns,26
Engine,Rarity,long-loop-fixed.o,,,43196451.0,ns,27
Engine,Rarity,long-loop-fixed.o,,,44755300.0,ns,28
Engine,Rarity,long-loop-fixed.o,,,46383931.0,ns,29
Engine,Rarity,long-loop-fixed.o,,,48008312.0,ns,30
Engine,Rarity,long-loop-fixed.o,,,49646781.0,ns,31
Engine,Rarity,long-loop-fixed.o,,,51150312.0,ns,32
Engine,Rarity,long-loop-fixed.o,,,52766304.0,ns,33
Engine,Rarity,long-loop-fixed.o,,,54362081.0,ns,34
Engine,Rarity,long-loop-fixed.o,,,56014764.0,ns,35
Engine,Rarity,long-loop-fixed.o,,,57623153.0,ns,36
Engine,Rarity,long-loop-fixed.o,,,59197306.0,ns,37
Engine,Rarity,long-loop-fixed.o,,,60801663.0,ns,38
Engine,Rarity,long-loop-fixed.o,,,62390601.0,ns,39
Engine,Rarity,long-loop-fixed.o,,,64007102.0,ns,40
Engine,Rarity,long-loop-fixed.o,,,65639044.0,ns,41
Engine,Rarity,long-loop-fixed.o,,,67160443.0,ns,42
Engine,Rarity,long-loop-fixed.o,,,68805062.0,ns,43
Engine,Rarity,long-loop-fixed.o,,,70340539.0,ns,44
Engine,Rarity,long-loop-fixed.o,,,71959825.0,ns,45
Engine,Rarity,long-loop-fixed.o,,,73597088.0,ns,46
Engine,Rarity,long-loop-fixed.o,,,75204243.0,ns,47
Engine,Rarity,long-loop-fixed.o,,,76830021.0,ns,48
Engine,Rarity,long-loop-fixed.o,,,78383714.0,ns,49
Engine,Rarity,long-loop-fixed.o,,,80034291.0,ns,50
Engine,Rarity,long-loop-fixed.o,,,81520231.0,ns,51
Engine,Rarity,long-loop-fixed.o,,,83172244.0,ns,52
Engine,Rarity,long-loop-fixed.o,,,84917713.0,ns,53
Engine,Rarity,long-loop-fixed.o,,,86406581.0,ns,54
Engine,Rarity,long-loop-fixed.o,,,88028576.0,ns,55
Engine,Rarity,long-loop-fixed.o,,,89729147.0,ns,56
Engine,Rarity,long-loop-fixed.o,,,91294735.0,ns,57
Engine,Rarity,long-loop-fixed.o,,,92874722.0,ns,58
Engine,Rarity,long-loop-fixed.o,,,94476423.0,ns,59
Engine,Rarity,long-loop-fixed.o,,,96081061.0,ns,60
Engine,Rarity,long-loop-fixed.o,,,97650578.0,ns,61
Engine,Rarity,long-loop-fixed.o,,,99361636.0,ns,62
Engine,Rarity,long-loop-fixed.o,,,101101912.0,ns,63
Engine,Rarity,long-loop-fixed.o,,,102782513.0,ns,64
Engine,Rarity,long-loop-fixed.o,,,104207522.0,ns,65
Engine,Rarity,long-loop-fixed.o,,,105893811.0,ns,66
Engine,Rarity,long-loop-fixed.o,,,107465482.0,ns,67
Engine,Rarity,long-loop-fixed.o,,,108976394.0,ns,68
Engine,Rarity,long-loop-fixed.o,,,110472773.0,ns,69
Engine,Rarity,long-loop-fixed.o,,,112022481.0,ns,70
Engine,Rarity,long-loop-fixed.o,,,113830672.0,ns,71
Engine,Rarity,long-loop-fixed.o,,,115310194.0,ns,72
Engine,Rarity,long-loop-fixed.o,,,116899128.0,ns,73
Engine,Rarity,long-loop-fixed.o,,,118451560.0,ns,74
Engine,Rarity,long-loop-fixed.o,,,120173208.0,ns,75
Engine,Rarity,long-loop-fixed.o,,,121856173.0,ns,76
Engine,Rarity,long-loop-fixed.o,,,123502949.0,ns,77
Engine,Rarity,long-loop-fixed.o,,,125104696.0,ns,78
Engine,Rarity,long-loop-fixed.o,,,126798423.0,ns,79
Engine,Rarity,long-loop-fixed.o,,,128472029.0,ns,80
Engine,Rarity,long-loop-fixed.o,,,129923524.0,ns,81
Engine,Rarity,long-loop-fixed.o,,,131506062.0,ns,82
Engine,Rarity,long-loop-fixed.o,,,133100356.0,ns,83
Engine,Rarity,long-loop-fixed.o,,,134818015.0,ns,84
Engine,Rarity,long-loop-fixed.o,,,136322439.0,ns,85
Engine,Rarity,long-loop-fixed.o,,,137864680.0,ns,86
Engine,Rarity,long-loop-fixed.o,,,139614648.0,ns,87
Engine,Rarity,long-loop-fixed.o,,,141290365.0,ns,88
Engine,Rarity,long-loop-fixed.o,,,142827215.0,ns,89
Engine,Rarity,long-loop-fixed.o,,,144318840.0,ns,90
Engine,Rarity,long-loop-fixed.o,,,145715895.0,ns,91
Engine,Rarity,long-loop-fixed.o,,,147579525.0,ns,92
Engine,Rarity,long-loop-fixed.o,,,149274588.0,ns,93
Engine,Rarity,long-loop-fixed.o,,,150793743.0,ns,94
Engine,Rarity,long-loop-fixed.o,,,152395456.0,ns,95
Engine,Rarity,long-loop-fixed.o,,,153955349.0,ns,96
Engine,Rarity,long-loop-fixed.o,,,155361656.0,ns,97
Engine,Rarity,long-loop-fixed.o,,,157066467.0,ns,98
Engine,Rarity,long-loop-fixed.o,,,158814773.0,ns,99
Engine,Rarity,long-loop-fixed.o,,,160416704.0,ns,100
