group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1711536.0,ns,1
Engine,Rarity,select-rare.o,,,3432027.0,ns,2
Engine,Rarity,select-rare.o,,,5129288.0,ns,3
Engine,Rarity,select-rare.o,,,6875038.0,ns,4
Engine,Rarity,select-rare.o,,,8565692.0,ns,5
Engine,Rarity,select-rare.o,,,10229911.0,ns,6
Engine,Rarity,select-rare.o,,,11919010.0,ns,7
Engine,Rarity,select-rare.o,,,13719843.0,ns,8
Engine,Rarity,select-rare.o,,,15408413.0,ns,9
Engine,Rarity,select-rare.o,,,17119663.0,ns,10
Engine,Rarity,select-rare.o,,,18862515.0,ns,11
Engine,Rarity,select-rare.o,,,20570980.0,ns,12
Engine,Rarity,select-rare.o,,,22225565.0,ns,13
Engine,Rarity,select-rare.o,,,24001155.0,ns,14
Engine,Rarity,select-rare.o,,,25694221.0,ns,15
Engine,Rarity,select-rare.o,,,27465100.0,ns,16
Engine,Rarity,select-rare.o,,,29110008.0,ns,17
Engine,Rarity,select-rare.o,,,30813447.0,ns,18
Engine,Rarity,select-rare.o,,,32541124.0,ns,19
Engine,Rarity,select-rare.o,,,34261374.0,ns,20
Engine,Rarity,select-rare.o,,,35970834.0,ns,21
Engine,Rarity,select-rare.o,,,37694298.0,ns,22
Engine,Rarity,select-rare.o,,,39414688.0,ns,23
Engine,Rarity,select-rare.o,,,41154760.0,ns,24
Engine,Rarity,select-rare.o,,,42813872.0,ns,25
Engine,Rarity,select-rare.o,,,44490756.0,ns,26
Engine,Rarity,select-rare.o,,,46191120.0,ns,27
Engine,Rarity,select-rare.o,,,47969570.0,ns,28
Engine,Rarity,select-rare.o,,,49763495.0,ns,29
Engine,Rarity,select-rare.o,,,51385000.0,ns,30
Engine,Rarity,select-rare.o,,,53107884.0,ns,31
Engine,Rarity,select-rare.o,,,54768532.0,ns,32
Engine,Rarity,select-rare.o,,,56468175.0,ns,33
Engine,Rarity,select-rare.o,,,58230594.0,ns,34
Engine,Rarity,select-rare.o,,,59949052.0,ns,35
Engine,Rarity,select-rare.o,,,61614425.0,ns,36
Engine,Rarity,select-rare.o,,,63424600.0,ns,37
Engine,Rarity,select-rare.o,,,65101406.0,ns,38
Engine,Rarity,select-rare.o,,,66781283.0,ns,39
Engine,Rarity,select-rare.o,,,68494089.0,ns,40
Engine,Rarity,select-rare.o,,,70200012.0,ns,41
Engine,Rarity,select-rare.o,,,71874802.0,ns,42
Engine,Rarity,select-rare.o,,,73576322.0,ns,43
Engine,Rarity,select-rare.o,,,75244229.0,ns,44
Engine,Rarity,select-rare.o,,,77038503.0,ns,45
Engine,Rarity,select-rare.o,,,78788738.0,ns,46
Engine,Rarity,select-rare.o,,,80476794.0,ns,47
Engine,Rarity,select-rare.o,,,82247954.0,ns,48
Engine,Rarity,select-rare.o,,,83938861.0,ns,49
Engine,Rarity,select-rare.o,,,85628096.0,ns,50
Engine,Rarity,select-rare.o,,,87308606.0,ns,51
Engine,Rarity,select-rare.o,,,89086264.0,ns,52
Engine,Rarity,select-rare.o,,,90791444.0,ns,53
Engine,Rarity,select-rare.o,,,92394991.0,ns,54
Engine,Rarity,select-rare.o,,,94156911.0,ns,55
Engine,Rarity,select-rare.o,,,95865237.0,ns,56
Engine,Rarity,select-rare.o,,,97652388.0,ns,57
Engine,Rarity,select-rare.o,,,99284630.0,ns,58
Engine,Rarity,select-rare.o,,,101015366.0,ns,59
Engine,Rarity,select-rare.o,,,102747427.0,ns,60
Engine,Rarity,select-rare.o,,,104491276.0,ns,61
Engine,Rarity,select-rare.o,,,106167396.0,ns,62
Engine,Rarity,select-rare.o,,,107808503.0,ns,63
Engine,Rarity,select-rare.o,,,109620046.0,ns,64
Engine,Rarity,select-rare.o,,,111232568.0,ns,65
Engine,Rarity,select-rare.o,,,113011984.0,ns,66
Engine,Rarity,select-rare.o,,,114612348.0,ns,67
Engine,Rarity,select-rare.o,,,116436870.0,ns,68
Engine,Rarity,select-rare.o,,,118118518.0,ns,69
Engine,Rarity,select-rare.o,,,119847480.0,ns,70
Engine,Rarity,select-rare.o,,,121539637.0,ns,71
Engine,Rarity,select-rare.o,,,123342383.0,ns,72
Engine,Rarity,select-rare.o,,,125011771.0,ns,73
Engine,Rarity,select-rare.o,,,126769740.0,ns,74
Engine,Rarity,select-rare.o,,,128528603.0,ns,75
Engine,Rarity,select-rare.o,,,130137774.0,ns,76
Engine,Rarity,select-rare.o,,,131727678.0,ns,77
Engine,Rarity,select-rare.o,,,133529953.0,ns,78
Engine,Rarity,select-rare.o,,,135340059.0,ns,79
Engine,Rarity,select-rare.o,,,136960570.0,ns,80
Engine,Rarity,select-rare.o,,,138720990.0,ns,81
Engine,Rarity,select-rare.o,,,140314331.0,ns,82
Engine,Rarity,select-rare.o,,,142075452.0,ns,83
Engine,Rarity,select-rare.o,,,143759346.0,ns,84
Engine,Rarity,select-rare.o,,,145580617.0,ns,85
Engine,Rarity,select-rare.o,,,147348959.0,ns,86
Engine,Rarity,select-rare.o,,,149084313.0,ns,87
Engine,Rarity,select-rare.o,,,150725263.0,ns,88
Engine,Rarity,select-rare.o,,,152382323.0,ns,89
Engine,Rarity,select-rare.o,,,153170241.0,ns,90
Engine,Rarity,select-rare.o,,,155650264.0,ns,91
Engine,Rarity,select-rare.o,,,156804322.0,ns,92
