group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,118908626.0,ns,3
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,238045592.0,ns,6
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,357064646.0,ns,9
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,475843297.0,ns,12
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,595160658.0,ns,15
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,713867609.0,ns,18
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,833219690.0,ns,21
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,952234633.0,ns,24
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,1071472745.0,ns,27
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,1190448657.0,ns,30
