group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,demonstration.o,,,1959765.0,ns,2
Engine,Monster,demonstration.o,,,3879914.0,ns,4
Engine,Monster,demonstration.o,,,5838340.0,ns,6
Engine,Monster,demonstration.o,,,7796527.0,ns,8
Engine,Monster,demonstration.o,,,9694016.0,ns,10
Engine,Monster,demonstration.o,,,11687079.0,ns,12
Engine,Monster,demonstration.o,,,13622304.0,ns,14
Engine,Monster,demonstration.o,,,15541341.0,ns,16
Engine,Monster,demonstration.o,,,17504017.0,ns,18
Engine,Monster,demonstration.o,,,19535533.0,ns,20
Engine,Monster,demonstration.o,,,21520000.0,ns,22
Engine,Monster,demonstration.o,,,23336762.0,ns,24
Engine,Monster,demonstration.o,,,25387643.0,ns,26
Engine,Monster,demonstration.o,,,27367107.0,ns,28
Engine,Monster,demonstration.o,,,29245155.0,ns,30
Engine,Monster,demonstration.o,,,31139559.0,ns,32
Engine,Monster,demonstration.o,,,33092606.0,ns,34
Engine,Monster,demonstration.o,,,35040241.0,ns,36
Engine,Monster,demonstration.o,,,37039555.0,ns,38
Engine,Monster,demonstration.o,,,38951251.0,ns,40
Engine,Monster,demonstration.o,,,40932401.0,ns,42
Engine,Monster,demonstration.o,,,42782034.0,ns,44
Engine,Monster,demonstration.o,,,44878216.0,ns,46
Engine,Monster,demonstration.o,,,46822348.0,ns,48
Engine,Monster,demonstration.o,,,48705091.0,ns,50
Engine,Monster,demonstration.o,,,50640477.0,ns,52
Engine,Monster,demonstration.o,,,52656403.0,ns,54
Engine,Monster,demonstration.o,,,54575071.0,ns,56
Engine,Monster,demonstration.o,,,56487807.0,ns,58
Engine,Monster,demonstration.o,,,58469546.0,ns,60
Engine,Monster,demonstration.o,,,60322676.0,ns,62
Engine,Monster,demonstration.o,,,62350474.0,ns,64
Engine,Monster,demonstration.o,,,64338691.0,ns,66
Engine,Monster,demonstration.o,,,66135877.0,ns,68
Engine,Monster,demonstration.o,,,68239753.0,ns,70
Engine,Monster,demonstration.o,,,70006355.0,ns,72
Engine,Monster,demonstration.o,,,72037913.0,ns,74
Engine,Monster,demonstration.o,,,74015056.0,ns,76
Engine,Monster,demonstration.o,,,76039360.0,ns,78
Engine,Monster,demonstration.o,,,77997923.0,ns,80
Engine,Monster,demonstration.o,,,79769549.0,ns,82
Engine,Monster,demonstration.o,,,81949285.0,ns,84
Engine,Monster,demonstration.o,,,83913281.0,ns,86
Engine,Monster,demonstration.o,,,85701153.0,ns,88
Engine,Monster,demonstration.o,,,87558367.0,ns,90
Engine,Monster,demonstration.o,,,89551775.0,ns,92
Engine,Monster,demonstration.o,,,91503868.0,ns,94
Engine,Monster,demonstration.o,,,93492331.0,ns,96
Engine,Monster,demonstration.o,,,95401655.0,ns,98
Engine,Monster,demonstration.o,,,97501803.0,ns,100
Engine,Monster,demonstration.o,,,99346242.0,ns,102
Engine,Monster,demonstration.o,,,101255268.0,ns,104
Engine,Monster,demonstration.o,,,103269616.0,ns,106
Engine,Monster,demonstration.o,,,105210908.0,ns,108
Engine,Monster,demonstration.o,,,107169504.0,ns,110
Engine,Monster,demonstration.o,,,109059511.0,ns,112
Engine,Monster,demonstration.o,,,110984414.0,ns,114
Engine,Monster,demonstration.o,,,112969414.0,ns,116
Engine,Monster,demonstration.o,,,115061375.0,ns,118
Engine,Monster,demonstration.o,,,116932633.0,ns,120
Engine,Monster,demonstration.o,,,118897783.0,ns,122
Engine,Monster,demonstration.o,,,120940459.0,ns,124
Engine,Monster,demonstration.o,,,122672274.0,ns,126
Engine,Monster,demonstration.o,,,124525078.0,ns,128
Engine,Monster,demonstration.o,,,126643012.0,ns,130
Engine,Monster,demonstration.o,,,128459403.0,ns,132
Engine,Monster,demonstration.o,,,130578143.0,ns,134
Engine,Monster,demonstration.o,,,132503143.0,ns,136
Engine,Monster,demonstration.o,,,134208970.0,ns,138
Engine,Monster,demonstration.o,,,136355059.0,ns,140
Engine,Monster,demonstration.o,,,138245023.0,ns,142
