group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,108673513574.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,14598256624.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,8639629927.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,12316327809.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,10518430639.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,10829997152.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,8918659224.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,10516710742.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,105531087135.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,106682287954.0,ns,1
