group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,echo-line.c,,,96709642.0,ns,5
Path Exploration Strategies,Shortest Path,echo-line.c,,,193737592.0,ns,10
Path Exploration Strategies,Shortest Path,echo-line.c,,,290490203.0,ns,15
Path Exploration Strategies,Shortest Path,echo-line.c,,,387380166.0,ns,20
Path Exploration Strategies,Shortest Path,echo-line.c,,,483944502.0,ns,25
Path Exploration Strategies,Shortest Path,echo-line.c,,,581293819.0,ns,30
Path Exploration Strategies,Shortest Path,echo-line.c,,,678233654.0,ns,35
Path Exploration Strategies,Shortest Path,echo-line.c,,,774715027.0,ns,40
Path Exploration Strategies,Shortest Path,echo-line.c,,,872035897.0,ns,45
Path Exploration Strategies,Shortest Path,echo-line.c,,,968394303.0,ns,50
