group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,if-else.c,,,123364399.0,ns,2
Path Exploration Strategies,Shortest Path,if-else.c,,,246684051.0,ns,4
Path Exploration Strategies,Shortest Path,if-else.c,,,369807000.0,ns,6
Path Exploration Strategies,Shortest Path,if-else.c,,,493453210.0,ns,8
Path Exploration Strategies,Shortest Path,if-else.c,,,616753509.0,ns,10
Path Exploration Strategies,Shortest Path,if-else.c,,,739861105.0,ns,12
Path Exploration Strategies,Shortest Path,if-else.c,,,863368450.0,ns,14
Path Exploration Strategies,Shortest Path,if-else.c,,,986877113.0,ns,16
Path Exploration Strategies,Shortest Path,if-else.c,,,1109935538.0,ns,18
Path Exploration Strategies,Shortest Path,if-else.c,,,1233185773.0,ns,20
