group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,long-loop-fixed.o,,,1863321.0,ns,1
Engine,Monster,long-loop-fixed.o,,,3696278.0,ns,2
Engine,Monster,long-loop-fixed.o,,,4964940.0,ns,3
Engine,Monster,long-loop-fixed.o,,,8644646.0,ns,4
Engine,Monster,long-loop-fixed.o,,,8023141.0,ns,5
Engine,Monster,long-loop-fixed.o,,,9780607.0,ns,6
Engine,Monster,long-loop-fixed.o,,,10801727.0,ns,7
Engine,Monster,long-loop-fixed.o,,,15944059.0,ns,8
Engine,Monster,long-loop-fixed.o,,,15686054.0,ns,9
Engine,Monster,long-loop-fixed.o,,,17130813.0,ns,10
Engine,Monster,long-loop-fixed.o,,,21879800.0,ns,11
Engine,Monster,long-loop-fixed.o,,,22961049.0,ns,12
Engine,Monster,long-loop-fixed.o,,,22204067.0,ns,13
Engine,Monster,long-loop-fixed.o,,,24175425.0,ns,14
Engine,Monster,long-loop-fixed.o,,,24981595.0,ns,15
Engine,Monster,long-loop-fixed.o,,,28042389.0,ns,16
Engine,Monster,long-loop-fixed.o,,,27945800.0,ns,17
Engine,Monster,long-loop-fixed.o,,,36681982.0,ns,18
Engine,Monster,long-loop-fixed.o,,,33792360.0,ns,19
Engine,Monster,long-loop-fixed.o,,,33955248.0,ns,20
Engine,Monster,long-loop-fixed.o,,,38367198.0,ns,21
Engine,Monster,long-loop-fixed.o,,,40023948.0,ns,22
Engine,Monster,long-loop-fixed.o,,,38653121.0,ns,23
Engine,Monster,long-loop-fixed.o,,,40475413.0,ns,24
Engine,Monster,long-loop-fixed.o,,,47855012.0,ns,25
Engine,Monster,long-loop-fixed.o,,,44725144.0,ns,26
Engine,Monster,long-loop-fixed.o,,,44272101.0,ns,27
Engine,Monster,long-loop-fixed.o,,,54481524.0,ns,28
Engine,Monster,long-loop-fixed.o,,,46828116.0,ns,29
Engine,Monster,long-loop-fixed.o,,,52201890.0,ns,30
Engine,Monster,long-loop-fixed.o,,,56345607.0,ns,31
Engine,Monster,long-loop-fixed.o,,,60653661.0,ns,32
Engine,Monster,long-loop-fixed.o,,,56282291.0,ns,33
Engine,Monster,long-loop-fixed.o,,,59665031.0,ns,34
Engine,Monster,long-loop-fixed.o,,,63804125.0,ns,35
Engine,Monster,long-loop-fixed.o,,,67274343.0,ns,36
Engine,Monster,long-loop-fixed.o,,,65907633.0,ns,37
Engine,Monster,long-loop-fixed.o,,,70737271.0,ns,38
Engine,Monster,long-loop-fixed.o,,,70724842.0,ns,39
Engine,Monster,long-loop-fixed.o,,,78666461.0,ns,40
Engine,Monster,long-loop-fixed.o,,,68689324.0,ns,41
Engine,Monster,long-loop-fixed.o,,,73386957.0,ns,42
Engine,Monster,long-loop-fixed.o,,,81605814.0,ns,43
Engine,Monster,long-loop-fixed.o,,,74108745.0,ns,44
Engine,Monster,long-loop-fixed.o,,,81393170.0,ns,45
Engine,Monster,long-loop-fixed.o,,,82441544.0,ns,46
Engine,Monster,long-loop-fixed.o,,,85591565.0,ns,47
Engine,Monster,long-loop-fixed.o,,,82623260.0,ns,48
Engine,Monster,long-loop-fixed.o,,,87908144.0,ns,49
Engine,Monster,long-loop-fixed.o,,,93682586.0,ns,50
