group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,long-loop-fixed.o,,,1578492.0,ns,1
Engine,Rarity,long-loop-fixed.o,,,3180044.0,ns,2
Engine,Rarity,long-loop-fixed.o,,,4747483.0,ns,3
Engine,Rarity,long-loop-fixed.o,,,6325695.0,ns,4
Engine,Rarity,long-loop-fixed.o,,,7949349.0,ns,5
Engine,Rarity,long-loop-fixed.o,,,9523061.0,ns,6
Engine,Rarity,long-loop-fixed.o,,,11090764.0,ns,7
Engine,Rarity,long-loop-fixed.o,,,12723945.0,ns,8
Engine,Rarity,long-loop-fixed.o,,,14261948.0,ns,9
Engine,Rarity,long-loop-fixed.o,,,15828347.0,ns,10
Engine,Rarity,long-loop-fixed.o,,,17462800.0,ns,11
Engine,Rarity,long-loop-fixed.o,,,19035765.0,ns,12
Engine,Rarity,long-loop-fixed.o,,,20668752.0,ns,13
Engine,Rarity,long-loop-fixed.o,,,22207103.0,ns,14
Engine,Rarity,long-loop-fixed.o,,,23761375.0,ns,15
Engine,Rarity,long-loop-fixed.o,,,25366972.0,ns,16
Engine,Rarity,long-loop-fixed.o,,,26930936.0,ns,17
Engine,Rarity,long-loop-fixed.o,,,28566889.0,ns,18
Engine,Rarity,long-loop-fixed.o,,,30153087.0,ns,19
Engine,Rarity,long-loop-fixed.o,,,31740091.0,ns,20
Engine,Rarity,long-loop-fixed.o,,,33312203.0,ns,21
Engine,Rarity,long-loop-fixed.o,,,34966711.0,ns,22
Engine,Rarity,long-loop-fixed.o,,,36515553.0,ns,23
Engine,Rarity,long-loop-fixed.o,,,39864769.0,ns,24
Engine,Rarity,long-loop-fixed.o,,,39588069.0,ns,25
Engine,Rarity,long-loop-fixed.o,,,41212381.0,ns,26
Engine,Rarity,long-loop-fixed.o,,,42736601.0,ns,27
Engine,Rarity,long-loop-fixed.o,,,44275281.0,ns,28
Engine,Rarity,long-loop-fixed.o,,,45967944.0,ns,29
Engine,Rarity,long-loop-fixed.o,,,47514553.0,ns,30
Engine,Rarity,long-loop-fixed.o,,,49066312.0,ns,31
Engine,Rarity,long-loop-fixed.o,,,50779602.0,ns,32
Engine,Rarity,long-loop-fixed.o,,,52221266.0,ns,33
Engine,Rarity,long-loop-fixed.o,,,53855568.0,ns,34
Engine,Rarity,long-loop-fixed.o,,,55498704.0,ns,35
Engine,Rarity,long-loop-fixed.o,,,57002267.0,ns,36
Engine,Rarity,long-loop-fixed.o,,,58634195.0,ns,37
Engine,Rarity,long-loop-fixed.o,,,60189817.0,ns,38
Engine,Rarity,long-loop-fixed.o,,,61778622.0,ns,39
Engine,Rarity,long-loop-fixed.o,,,63417318.0,ns,40
Engine,Rarity,long-loop-fixed.o,,,65001934.0,ns,41
Engine,Rarity,long-loop-fixed.o,,,66561888.0,ns,42
Engine,Rarity,long-loop-fixed.o,,,68095433.0,ns,43
Engine,Rarity,long-loop-fixed.o,,,69597647.0,ns,44
Engine,Rarity,long-loop-fixed.o,,,71166638.0,ns,45
Engine,Rarity,long-loop-fixed.o,,,72824835.0,ns,46
Engine,Rarity,long-loop-fixed.o,,,74469377.0,ns,47
Engine,Rarity,long-loop-fixed.o,,,76009745.0,ns,48
Engine,Rarity,long-loop-fixed.o,,,77610120.0,ns,49
Engine,Rarity,long-loop-fixed.o,,,79133090.0,ns,50
Engine,Rarity,long-loop-fixed.o,,,80790917.0,ns,51
Engine,Rarity,long-loop-fixed.o,,,82351588.0,ns,52
Engine,Rarity,long-loop-fixed.o,,,84018927.0,ns,53
Engine,Rarity,long-loop-fixed.o,,,85533937.0,ns,54
Engine,Rarity,long-loop-fixed.o,,,87168026.0,ns,55
Engine,Rarity,long-loop-fixed.o,,,88656549.0,ns,56
Engine,Rarity,long-loop-fixed.o,,,90298854.0,ns,57
Engine,Rarity,long-loop-fixed.o,,,91766932.0,ns,58
Engine,Rarity,long-loop-fixed.o,,,93427060.0,ns,59
Engine,Rarity,long-loop-fixed.o,,,95044171.0,ns,60
Engine,Rarity,long-loop-fixed.o,,,96579934.0,ns,61
Engine,Rarity,long-loop-fixed.o,,,98103351.0,ns,62
Engine,Rarity,long-loop-fixed.o,,,99819210.0,ns,63
Engine,Rarity,long-loop-fixed.o,,,101381522.0,ns,64
Engine,Rarity,long-loop-fixed.o,,,102968056.0,ns,65
Engine,Rarity,long-loop-fixed.o,,,104492218.0,ns,66
Engine,Rarity,long-loop-fixed.o,,,106043320.0,ns,67
Engine,Rarity,long-loop-fixed.o,,,107651430.0,ns,68
Engine,Rarity,long-loop-fixed.o,,,109210255.0,ns,69
Engine,Rarity,long-loop-fixed.o,,,110902105.0,ns,70
Engine,Rarity,long-loop-fixed.o,,,112360670.0,ns,71
Engine,Rarity,long-loop-fixed.o,,,113938394.0,ns,72
Engine,Rarity,long-loop-fixed.o,,,115664623.0,ns,73
Engine,Rarity,long-loop-fixed.o,,,117100218.0,ns,74
Engine,Rarity,long-loop-fixed.o,,,118744114.0,ns,75
Engine,Rarity,long-loop-fixed.o,,,120256073.0,ns,76
Engine,Rarity,long-loop-fixed.o,,,121940784.0,ns,77
Engine,Rarity,long-loop-fixed.o,,,123548296.0,ns,78
Engine,Rarity,long-loop-fixed.o,,,125010342.0,ns,79
Engine,Rarity,long-loop-fixed.o,,,126671792.0,ns,80
Engine,Rarity,long-loop-fixed.o,,,128195865.0,ns,81
Engine,Rarity,long-loop-fixed.o,,,129776181.0,ns,82
Engine,Rarity,long-loop-fixed.o,,,131350277.0,ns,83
Engine,Rarity,long-loop-fixed.o,,,132979273.0,ns,84
Engine,Rarity,long-loop-fixed.o,,,134567167.0,ns,85
Engine,Rarity,long-loop-fixed.o,,,136152175.0,ns,86
Engine,Rarity,long-loop-fixed.o,,,137786028.0,ns,87
