group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1707596.0,ns,1
Engine,Rarity,select-rare.o,,,3363783.0,ns,2
Engine,Rarity,select-rare.o,,,5047309.0,ns,3
Engine,Rarity,select-rare.o,,,6749543.0,ns,4
Engine,Rarity,select-rare.o,,,8391927.0,ns,5
Engine,Rarity,select-rare.o,,,10085026.0,ns,6
Engine,Rarity,select-rare.o,,,11792108.0,ns,7
Engine,Rarity,select-rare.o,,,13503117.0,ns,8
Engine,Rarity,select-rare.o,,,15149381.0,ns,9
Engine,Rarity,select-rare.o,,,16851240.0,ns,10
Engine,Rarity,select-rare.o,,,18508300.0,ns,11
Engine,Rarity,select-rare.o,,,20225006.0,ns,12
Engine,Rarity,select-rare.o,,,21903633.0,ns,13
Engine,Rarity,select-rare.o,,,23616720.0,ns,14
Engine,Rarity,select-rare.o,,,25271197.0,ns,15
Engine,Rarity,select-rare.o,,,26907261.0,ns,16
Engine,Rarity,select-rare.o,,,28595808.0,ns,17
Engine,Rarity,select-rare.o,,,30336072.0,ns,18
Engine,Rarity,select-rare.o,,,32019514.0,ns,19
Engine,Rarity,select-rare.o,,,33695519.0,ns,20
Engine,Rarity,select-rare.o,,,35319593.0,ns,21
Engine,Rarity,select-rare.o,,,37053951.0,ns,22
Engine,Rarity,select-rare.o,,,38687617.0,ns,23
Engine,Rarity,select-rare.o,,,40375462.0,ns,24
Engine,Rarity,select-rare.o,,,42031557.0,ns,25
Engine,Rarity,select-rare.o,,,43758255.0,ns,26
Engine,Rarity,select-rare.o,,,45550727.0,ns,27
Engine,Rarity,select-rare.o,,,47153843.0,ns,28
Engine,Rarity,select-rare.o,,,48827630.0,ns,29
Engine,Rarity,select-rare.o,,,50487626.0,ns,30
Engine,Rarity,select-rare.o,,,52273074.0,ns,31
Engine,Rarity,select-rare.o,,,53908643.0,ns,32
Engine,Rarity,select-rare.o,,,55550953.0,ns,33
Engine,Rarity,select-rare.o,,,57272804.0,ns,34
Engine,Rarity,select-rare.o,,,59080593.0,ns,35
Engine,Rarity,select-rare.o,,,60711785.0,ns,36
Engine,Rarity,select-rare.o,,,62390763.0,ns,37
Engine,Rarity,select-rare.o,,,63907790.0,ns,38
Engine,Rarity,select-rare.o,,,65673183.0,ns,39
Engine,Rarity,select-rare.o,,,67238865.0,ns,40
Engine,Rarity,select-rare.o,,,69047097.0,ns,41
Engine,Rarity,select-rare.o,,,70705872.0,ns,42
Engine,Rarity,select-rare.o,,,72351312.0,ns,43
Engine,Rarity,select-rare.o,,,74143902.0,ns,44
Engine,Rarity,select-rare.o,,,75746971.0,ns,45
