group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,107780913.0,ns,6
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,215646110.0,ns,12
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,323324354.0,ns,18
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,431013169.0,ns,24
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,538395515.0,ns,30
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,645919645.0,ns,36
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,754083912.0,ns,42
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,861320519.0,ns,48
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,969660367.0,ns,54
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,1076490676.0,ns,60
