group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,long-loop-fixed.o,,,1580220.0,ns,1
Engine,Rarity,long-loop-fixed.o,,,3145961.0,ns,2
Engine,Rarity,long-loop-fixed.o,,,4740071.0,ns,3
Engine,Rarity,long-loop-fixed.o,,,6299365.0,ns,4
Engine,Rarity,long-loop-fixed.o,,,7877260.0,ns,5
Engine,Rarity,long-loop-fixed.o,,,9497304.0,ns,6
Engine,Rarity,long-loop-fixed.o,,,11002520.0,ns,7
Engine,Rarity,long-loop-fixed.o,,,12607293.0,ns,8
Engine,Rarity,long-loop-fixed.o,,,14237658.0,ns,9
Engine,Rarity,long-loop-fixed.o,,,15779796.0,ns,10
Engine,Rarity,long-loop-fixed.o,,,17324830.0,ns,11
Engine,Rarity,long-loop-fixed.o,,,18901624.0,ns,12
Engine,Rarity,long-loop-fixed.o,,,20505709.0,ns,13
Engine,Rarity,long-loop-fixed.o,,,22085901.0,ns,14
Engine,Rarity,long-loop-fixed.o,,,23656198.0,ns,15
Engine,Rarity,long-loop-fixed.o,,,25205117.0,ns,16
Engine,Rarity,long-loop-fixed.o,,,26779523.0,ns,17
Engine,Rarity,long-loop-fixed.o,,,28441535.0,ns,18
Engine,Rarity,long-loop-fixed.o,,,29960745.0,ns,19
Engine,Rarity,long-loop-fixed.o,,,31585341.0,ns,20
Engine,Rarity,long-loop-fixed.o,,,33074796.0,ns,21
Engine,Rarity,long-loop-fixed.o,,,34679944.0,ns,22
Engine,Rarity,long-loop-fixed.o,,,36299056.0,ns,23
Engine,Rarity,long-loop-fixed.o,,,37892748.0,ns,24
Engine,Rarity,long-loop-fixed.o,,,39383602.0,ns,25
Engine,Rarity,long-loop-fixed.o,,,40989945.0,ns,26
Engine,Rarity,long-loop-fixed.o,,,42564800.0,ns,27
Engine,Rarity,long-loop-fixed.o,,,44153366.0,ns,28
Engine,Rarity,long-loop-fixed.o,,,45729728.0,ns,29
Engine,Rarity,long-loop-fixed.o,,,47374608.0,ns,30
Engine,Rarity,long-loop-fixed.o,,,48872926.0,ns,31
Engine,Rarity,long-loop-fixed.o,,,50443033.0,ns,32
Engine,Rarity,long-loop-fixed.o,,,52033799.0,ns,33
Engine,Rarity,long-loop-fixed.o,,,53609956.0,ns,34
Engine,Rarity,long-loop-fixed.o,,,55184121.0,ns,35
Engine,Rarity,long-loop-fixed.o,,,56774264.0,ns,36
Engine,Rarity,long-loop-fixed.o,,,58382248.0,ns,37
Engine,Rarity,long-loop-fixed.o,,,59910545.0,ns,38
Engine,Rarity,long-loop-fixed.o,,,61448528.0,ns,39
Engine,Rarity,long-loop-fixed.o,,,63079553.0,ns,40
Engine,Rarity,long-loop-fixed.o,,,64726718.0,ns,41
Engine,Rarity,long-loop-fixed.o,,,66216456.0,ns,42
Engine,Rarity,long-loop-fixed.o,,,67789818.0,ns,43
Engine,Rarity,long-loop-fixed.o,,,69436307.0,ns,44
Engine,Rarity,long-loop-fixed.o,,,70990935.0,ns,45
Engine,Rarity,long-loop-fixed.o,,,72623877.0,ns,46
Engine,Rarity,long-loop-fixed.o,,,74040190.0,ns,47
Engine,Rarity,long-loop-fixed.o,,,75662762.0,ns,48
Engine,Rarity,long-loop-fixed.o,,,77216881.0,ns,49
Engine,Rarity,long-loop-fixed.o,,,78865005.0,ns,50
Engine,Rarity,long-loop-fixed.o,,,80465432.0,ns,51
Engine,Rarity,long-loop-fixed.o,,,82060720.0,ns,52
Engine,Rarity,long-loop-fixed.o,,,83589169.0,ns,53
Engine,Rarity,long-loop-fixed.o,,,85135483.0,ns,54
Engine,Rarity,long-loop-fixed.o,,,86685640.0,ns,55
Engine,Rarity,long-loop-fixed.o,,,88283048.0,ns,56
Engine,Rarity,long-loop-fixed.o,,,89857776.0,ns,57
Engine,Rarity,long-loop-fixed.o,,,91401981.0,ns,58
Engine,Rarity,long-loop-fixed.o,,,93043346.0,ns,59
Engine,Rarity,long-loop-fixed.o,,,94726465.0,ns,60
Engine,Rarity,long-loop-fixed.o,,,96192090.0,ns,61
Engine,Rarity,long-loop-fixed.o,,,97758264.0,ns,62
Engine,Rarity,long-loop-fixed.o,,,99321357.0,ns,63
Engine,Rarity,long-loop-fixed.o,,,100869493.0,ns,64
Engine,Rarity,long-loop-fixed.o,,,102413665.0,ns,65
Engine,Rarity,long-loop-fixed.o,,,104063999.0,ns,66
Engine,Rarity,long-loop-fixed.o,,,105590032.0,ns,67
Engine,Rarity,long-loop-fixed.o,,,107178990.0,ns,68
Engine,Rarity,long-loop-fixed.o,,,108941449.0,ns,69
Engine,Rarity,long-loop-fixed.o,,,110438203.0,ns,70
Engine,Rarity,long-loop-fixed.o,,,111982791.0,ns,71
Engine,Rarity,long-loop-fixed.o,,,113624129.0,ns,72
Engine,Rarity,long-loop-fixed.o,,,115185291.0,ns,73
Engine,Rarity,long-loop-fixed.o,,,116647498.0,ns,74
Engine,Rarity,long-loop-fixed.o,,,118381683.0,ns,75
Engine,Rarity,long-loop-fixed.o,,,119834778.0,ns,76
Engine,Rarity,long-loop-fixed.o,,,121431664.0,ns,77
Engine,Rarity,long-loop-fixed.o,,,123047732.0,ns,78
Engine,Rarity,long-loop-fixed.o,,,124505687.0,ns,79
Engine,Rarity,long-loop-fixed.o,,,126244289.0,ns,80
Engine,Rarity,long-loop-fixed.o,,,127768005.0,ns,81
Engine,Rarity,long-loop-fixed.o,,,129191542.0,ns,82
Engine,Rarity,long-loop-fixed.o,,,130890056.0,ns,83
Engine,Rarity,long-loop-fixed.o,,,132526098.0,ns,84
Engine,Rarity,long-loop-fixed.o,,,134171496.0,ns,85
Engine,Rarity,long-loop-fixed.o,,,135606510.0,ns,86
Engine,Rarity,long-loop-fixed.o,,,137215855.0,ns,87
Engine,Rarity,long-loop-fixed.o,,,138769052.0,ns,88
