group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,select-rare.o,,,61505843.0,ns,1
Engine,Z3,select-rare.o,,,61512237.0,ns,1
Engine,Z3,select-rare.o,,,61471856.0,ns,1
Engine,Z3,select-rare.o,,,61542231.0,ns,1
Engine,Z3,select-rare.o,,,61392851.0,ns,1
Engine,Z3,select-rare.o,,,61414860.0,ns,1
Engine,Z3,select-rare.o,,,61510204.0,ns,1
Engine,Z3,select-rare.o,,,61486846.0,ns,1
Engine,Z3,select-rare.o,,,61450037.0,ns,1
Engine,Z3,select-rare.o,,,61458125.0,ns,1
Engine,Z3,select-rare.o,,,61492756.0,ns,1
Engine,Z3,select-rare.o,,,61472845.0,ns,1
Engine,Z3,select-rare.o,,,61484536.0,ns,1
Engine,Z3,select-rare.o,,,61612204.0,ns,1
Engine,Z3,select-rare.o,,,61480724.0,ns,1
Engine,Z3,select-rare.o,,,61438287.0,ns,1
Engine,Z3,select-rare.o,,,61428634.0,ns,1
Engine,Z3,select-rare.o,,,61371009.0,ns,1
Engine,Z3,select-rare.o,,,61433541.0,ns,1
Engine,Z3,select-rare.o,,,61408885.0,ns,1
Engine,Z3,select-rare.o,,,61416063.0,ns,1
Engine,Z3,select-rare.o,,,61453045.0,ns,1
Engine,Z3,select-rare.o,,,61440945.0,ns,1
Engine,Z3,select-rare.o,,,61440612.0,ns,1
Engine,Z3,select-rare.o,,,61409824.0,ns,1
Engine,Z3,select-rare.o,,,61433219.0,ns,1
Engine,Z3,select-rare.o,,,61417503.0,ns,1
Engine,Z3,select-rare.o,,,61512325.0,ns,1
Engine,Z3,select-rare.o,,,61440728.0,ns,1
Engine,Z3,select-rare.o,,,61510479.0,ns,1
Engine,Z3,select-rare.o,,,61565955.0,ns,1
Engine,Z3,select-rare.o,,,61514362.0,ns,1
Engine,Z3,select-rare.o,,,61503389.0,ns,1
Engine,Z3,select-rare.o,,,61464562.0,ns,1
Engine,Z3,select-rare.o,,,61515239.0,ns,1
Engine,Z3,select-rare.o,,,61571906.0,ns,1
Engine,Z3,select-rare.o,,,61499701.0,ns,1
Engine,Z3,select-rare.o,,,61432715.0,ns,1
Engine,Z3,select-rare.o,,,61448357.0,ns,1
Engine,Z3,select-rare.o,,,61420186.0,ns,1
Engine,Z3,select-rare.o,,,61469209.0,ns,1
Engine,Z3,select-rare.o,,,61437282.0,ns,1
Engine,Z3,select-rare.o,,,61425174.0,ns,1
Engine,Z3,select-rare.o,,,61430973.0,ns,1
Engine,Z3,select-rare.o,,,61388019.0,ns,1
Engine,Z3,select-rare.o,,,61515274.0,ns,1
Engine,Z3,select-rare.o,,,61416212.0,ns,1
Engine,Z3,select-rare.o,,,61382996.0,ns,1
Engine,Z3,select-rare.o,,,61410736.0,ns,1
Engine,Z3,select-rare.o,,,61485701.0,ns,1
Engine,Z3,select-rare.o,,,61407413.0,ns,1
Engine,Z3,select-rare.o,,,61482494.0,ns,1
