group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,multiple-read.c,,,93108520.0,ns,4
Path Exploration Strategies,Coin Flip,multiple-read.c,,,186028148.0,ns,8
Path Exploration Strategies,Coin Flip,multiple-read.c,,,278907424.0,ns,12
Path Exploration Strategies,Coin Flip,multiple-read.c,,,371810521.0,ns,16
Path Exploration Strategies,Coin Flip,multiple-read.c,,,464296940.0,ns,20
Path Exploration Strategies,Coin Flip,multiple-read.c,,,557406465.0,ns,24
Path Exploration Strategies,Coin Flip,multiple-read.c,,,651091948.0,ns,28
Path Exploration Strategies,Coin Flip,multiple-read.c,,,743222011.0,ns,32
Path Exploration Strategies,Coin Flip,multiple-read.c,,,836489950.0,ns,36
Path Exploration Strategies,Coin Flip,multiple-read.c,,,929717618.0,ns,40
