group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,if-else.c,,,124056704.0,ns,2
Path Exploration Strategies,Shortest Path,if-else.c,,,247904072.0,ns,4
Path Exploration Strategies,Shortest Path,if-else.c,,,371840586.0,ns,6
Path Exploration Strategies,Shortest Path,if-else.c,,,495923119.0,ns,8
Path Exploration Strategies,Shortest Path,if-else.c,,,620062758.0,ns,10
Path Exploration Strategies,Shortest Path,if-else.c,,,743743746.0,ns,12
Path Exploration Strategies,Shortest Path,if-else.c,,,868016581.0,ns,14
Path Exploration Strategies,Shortest Path,if-else.c,,,991698488.0,ns,16
Path Exploration Strategies,Shortest Path,if-else.c,,,1115560723.0,ns,18
Path Exploration Strategies,Shortest Path,if-else.c,,,1239728883.0,ns,20
