group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,demonstration.o,,,1944539.0,ns,2
Engine,Monster,demonstration.o,,,3940872.0,ns,4
Engine,Monster,demonstration.o,,,5873996.0,ns,6
Engine,Monster,demonstration.o,,,7858170.0,ns,8
Engine,Monster,demonstration.o,,,9829895.0,ns,10
Engine,Monster,demonstration.o,,,11738024.0,ns,12
Engine,Monster,demonstration.o,,,13676737.0,ns,14
Engine,Monster,demonstration.o,,,15684448.0,ns,16
Engine,Monster,demonstration.o,,,17718193.0,ns,18
Engine,Monster,demonstration.o,,,19630930.0,ns,20
Engine,Monster,demonstration.o,,,21635558.0,ns,22
Engine,Monster,demonstration.o,,,23644416.0,ns,24
Engine,Monster,demonstration.o,,,25548308.0,ns,26
Engine,Monster,demonstration.o,,,27460188.0,ns,28
Engine,Monster,demonstration.o,,,29427079.0,ns,30
Engine,Monster,demonstration.o,,,31494673.0,ns,32
Engine,Monster,demonstration.o,,,33297773.0,ns,34
Engine,Monster,demonstration.o,,,35251166.0,ns,36
Engine,Monster,demonstration.o,,,37318927.0,ns,38
Engine,Monster,demonstration.o,,,39324578.0,ns,40
Engine,Monster,demonstration.o,,,41248174.0,ns,42
Engine,Monster,demonstration.o,,,43070336.0,ns,44
Engine,Monster,demonstration.o,,,45142340.0,ns,46
Engine,Monster,demonstration.o,,,47043646.0,ns,48
Engine,Monster,demonstration.o,,,49093729.0,ns,50
Engine,Monster,demonstration.o,,,51117272.0,ns,52
Engine,Monster,demonstration.o,,,53008709.0,ns,54
Engine,Monster,demonstration.o,,,55096431.0,ns,56
Engine,Monster,demonstration.o,,,56762510.0,ns,58
Engine,Monster,demonstration.o,,,58740956.0,ns,60
Engine,Monster,demonstration.o,,,60766897.0,ns,62
Engine,Monster,demonstration.o,,,62753684.0,ns,64
Engine,Monster,demonstration.o,,,64817918.0,ns,66
Engine,Monster,demonstration.o,,,66756905.0,ns,68
Engine,Monster,demonstration.o,,,68594050.0,ns,70
Engine,Monster,demonstration.o,,,70618575.0,ns,72
Engine,Monster,demonstration.o,,,72658116.0,ns,74
Engine,Monster,demonstration.o,,,74528160.0,ns,76
Engine,Monster,demonstration.o,,,76483108.0,ns,78
Engine,Monster,demonstration.o,,,78560655.0,ns,80
Engine,Monster,demonstration.o,,,80713424.0,ns,82
Engine,Monster,demonstration.o,,,82445849.0,ns,84
Engine,Monster,demonstration.o,,,84482199.0,ns,86
Engine,Monster,demonstration.o,,,86236030.0,ns,88
Engine,Monster,demonstration.o,,,88317324.0,ns,90
Engine,Monster,demonstration.o,,,90156248.0,ns,92
Engine,Monster,demonstration.o,,,92160364.0,ns,94
Engine,Monster,demonstration.o,,,94313607.0,ns,96
Engine,Monster,demonstration.o,,,96294516.0,ns,98
Engine,Monster,demonstration.o,,,98180003.0,ns,100
Engine,Monster,demonstration.o,,,100162697.0,ns,102
Engine,Monster,demonstration.o,,,101967537.0,ns,104
Engine,Monster,demonstration.o,,,104090584.0,ns,106
Engine,Monster,demonstration.o,,,105893168.0,ns,108
Engine,Monster,demonstration.o,,,107940330.0,ns,110
Engine,Monster,demonstration.o,,,109619245.0,ns,112
Engine,Monster,demonstration.o,,,111946233.0,ns,114
Engine,Monster,demonstration.o,,,113854172.0,ns,116
Engine,Monster,demonstration.o,,,115787265.0,ns,118
