group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,select-rare.o,,,1159493.0,ns,1
Engine,Monster,select-rare.o,,,2401463.0,ns,2
Engine,Monster,select-rare.o,,,3578376.0,ns,3
Engine,Monster,select-rare.o,,,4731090.0,ns,4
Engine,Monster,select-rare.o,,,5886551.0,ns,5
Engine,Monster,select-rare.o,,,7198626.0,ns,6
Engine,Monster,select-rare.o,,,8221092.0,ns,7
Engine,Monster,select-rare.o,,,9480685.0,ns,8
Engine,Monster,select-rare.o,,,10624053.0,ns,9
Engine,Monster,select-rare.o,,,11869299.0,ns,10
Engine,Monster,select-rare.o,,,13071314.0,ns,11
Engine,Monster,select-rare.o,,,14102554.0,ns,12
Engine,Monster,select-rare.o,,,15763095.0,ns,13
Engine,Monster,select-rare.o,,,16548363.0,ns,14
Engine,Monster,select-rare.o,,,17990175.0,ns,15
Engine,Monster,select-rare.o,,,19238860.0,ns,16
Engine,Monster,select-rare.o,,,20072067.0,ns,17
Engine,Monster,select-rare.o,,,21384548.0,ns,18
Engine,Monster,select-rare.o,,,22624362.0,ns,19
Engine,Monster,select-rare.o,,,23724404.0,ns,20
Engine,Monster,select-rare.o,,,24938066.0,ns,21
Engine,Monster,select-rare.o,,,26298182.0,ns,22
Engine,Monster,select-rare.o,,,27492847.0,ns,23
Engine,Monster,select-rare.o,,,28737597.0,ns,24
Engine,Monster,select-rare.o,,,29726000.0,ns,25
Engine,Monster,select-rare.o,,,30789052.0,ns,26
Engine,Monster,select-rare.o,,,32155799.0,ns,27
Engine,Monster,select-rare.o,,,33574387.0,ns,28
Engine,Monster,select-rare.o,,,34525421.0,ns,29
Engine,Monster,select-rare.o,,,35782846.0,ns,30
Engine,Monster,select-rare.o,,,36802244.0,ns,31
Engine,Monster,select-rare.o,,,38040285.0,ns,32
Engine,Monster,select-rare.o,,,39292234.0,ns,33
Engine,Monster,select-rare.o,,,40374601.0,ns,34
Engine,Monster,select-rare.o,,,41464099.0,ns,35
Engine,Monster,select-rare.o,,,42967733.0,ns,36
Engine,Monster,select-rare.o,,,44143661.0,ns,37
Engine,Monster,select-rare.o,,,45053626.0,ns,38
Engine,Monster,select-rare.o,,,46524654.0,ns,39
Engine,Monster,select-rare.o,,,47333262.0,ns,40
Engine,Monster,select-rare.o,,,48775072.0,ns,41
Engine,Monster,select-rare.o,,,50034669.0,ns,42
Engine,Monster,select-rare.o,,,51390427.0,ns,43
Engine,Monster,select-rare.o,,,52118283.0,ns,44
Engine,Monster,select-rare.o,,,53563428.0,ns,45
Engine,Monster,select-rare.o,,,55275788.0,ns,46
Engine,Monster,select-rare.o,,,55954240.0,ns,47
Engine,Monster,select-rare.o,,,57246255.0,ns,48
Engine,Monster,select-rare.o,,,58254898.0,ns,49
Engine,Monster,select-rare.o,,,59606848.0,ns,50
Engine,Monster,select-rare.o,,,60680030.0,ns,51
Engine,Monster,select-rare.o,,,61742459.0,ns,52
Engine,Monster,select-rare.o,,,63186589.0,ns,53
Engine,Monster,select-rare.o,,,64191324.0,ns,54
Engine,Monster,select-rare.o,,,65472930.0,ns,55
Engine,Monster,select-rare.o,,,66563234.0,ns,56
Engine,Monster,select-rare.o,,,68472109.0,ns,57
Engine,Monster,select-rare.o,,,68816149.0,ns,58
Engine,Monster,select-rare.o,,,70462220.0,ns,59
Engine,Monster,select-rare.o,,,71224742.0,ns,60
Engine,Monster,select-rare.o,,,72610473.0,ns,61
Engine,Monster,select-rare.o,,,73927237.0,ns,62
Engine,Monster,select-rare.o,,,75306803.0,ns,63
Engine,Monster,select-rare.o,,,75829842.0,ns,64
Engine,Monster,select-rare.o,,,77568441.0,ns,65
Engine,Monster,select-rare.o,,,78687125.0,ns,66
Engine,Monster,select-rare.o,,,79517816.0,ns,67
Engine,Monster,select-rare.o,,,81537783.0,ns,68
Engine,Monster,select-rare.o,,,81867671.0,ns,69
Engine,Monster,select-rare.o,,,82976524.0,ns,70
Engine,Monster,select-rare.o,,,84359399.0,ns,71
Engine,Monster,select-rare.o,,,85661855.0,ns,72
Engine,Monster,select-rare.o,,,86932081.0,ns,73
Engine,Monster,select-rare.o,,,88257197.0,ns,74
Engine,Monster,select-rare.o,,,89343210.0,ns,75
Engine,Monster,select-rare.o,,,90302270.0,ns,76
Engine,Monster,select-rare.o,,,92033382.0,ns,77
Engine,Monster,select-rare.o,,,92884040.0,ns,78
Engine,Monster,select-rare.o,,,93804384.0,ns,79
Engine,Monster,select-rare.o,,,94995390.0,ns,80
Engine,Monster,select-rare.o,,,96626135.0,ns,81
Engine,Monster,select-rare.o,,,97395529.0,ns,82
Engine,Monster,select-rare.o,,,98458171.0,ns,83
Engine,Monster,select-rare.o,,,99869088.0,ns,84
Engine,Monster,select-rare.o,,,101262618.0,ns,85
Engine,Monster,select-rare.o,,,102251954.0,ns,86
Engine,Monster,select-rare.o,,,103682608.0,ns,87
Engine,Monster,select-rare.o,,,104785147.0,ns,88
Engine,Monster,select-rare.o,,,106308337.0,ns,89
Engine,Monster,select-rare.o,,,106892209.0,ns,90
Engine,Monster,select-rare.o,,,108998800.0,ns,91
Engine,Monster,select-rare.o,,,109185104.0,ns,92
Engine,Monster,select-rare.o,,,111047072.0,ns,93
Engine,Monster,select-rare.o,,,112105456.0,ns,94
Engine,Monster,select-rare.o,,,112859014.0,ns,95
Engine,Monster,select-rare.o,,,114439982.0,ns,96
Engine,Monster,select-rare.o,,,116074736.0,ns,97
Engine,Monster,select-rare.o,,,116485749.0,ns,98
Engine,Monster,select-rare.o,,,117747142.0,ns,99
Engine,Monster,select-rare.o,,,118976728.0,ns,100
