group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1826447.0,ns,1
Engine,Rarity,select-rare.o,,,3653255.0,ns,2
Engine,Rarity,select-rare.o,,,5493687.0,ns,3
Engine,Rarity,select-rare.o,,,7313397.0,ns,4
Engine,Rarity,select-rare.o,,,9112355.0,ns,5
Engine,Rarity,select-rare.o,,,10953580.0,ns,6
Engine,Rarity,select-rare.o,,,12765083.0,ns,7
Engine,Rarity,select-rare.o,,,14570267.0,ns,8
Engine,Rarity,select-rare.o,,,16450240.0,ns,9
Engine,Rarity,select-rare.o,,,18199599.0,ns,10
Engine,Rarity,select-rare.o,,,20084885.0,ns,11
Engine,Rarity,select-rare.o,,,21920522.0,ns,12
Engine,Rarity,select-rare.o,,,23684412.0,ns,13
Engine,Rarity,select-rare.o,,,25544989.0,ns,14
Engine,Rarity,select-rare.o,,,27357302.0,ns,15
Engine,Rarity,select-rare.o,,,29219018.0,ns,16
Engine,Rarity,select-rare.o,,,31053255.0,ns,17
Engine,Rarity,select-rare.o,,,32930659.0,ns,18
Engine,Rarity,select-rare.o,,,34718331.0,ns,19
Engine,Rarity,select-rare.o,,,36528310.0,ns,20
Engine,Rarity,select-rare.o,,,38343717.0,ns,21
Engine,Rarity,select-rare.o,,,40106414.0,ns,22
Engine,Rarity,select-rare.o,,,41995251.0,ns,23
Engine,Rarity,select-rare.o,,,43785628.0,ns,24
Engine,Rarity,select-rare.o,,,45659948.0,ns,25
Engine,Rarity,select-rare.o,,,47505879.0,ns,26
Engine,Rarity,select-rare.o,,,49377635.0,ns,27
Engine,Rarity,select-rare.o,,,51119685.0,ns,28
Engine,Rarity,select-rare.o,,,52991660.0,ns,29
Engine,Rarity,select-rare.o,,,54744786.0,ns,30
Engine,Rarity,select-rare.o,,,56616542.0,ns,31
Engine,Rarity,select-rare.o,,,58451236.0,ns,32
Engine,Rarity,select-rare.o,,,60284885.0,ns,33
Engine,Rarity,select-rare.o,,,62118081.0,ns,34
Engine,Rarity,select-rare.o,,,63924638.0,ns,35
Engine,Rarity,select-rare.o,,,65688732.0,ns,36
Engine,Rarity,select-rare.o,,,67556823.0,ns,37
Engine,Rarity,select-rare.o,,,69458656.0,ns,38
Engine,Rarity,select-rare.o,,,71251507.0,ns,39
Engine,Rarity,select-rare.o,,,73027182.0,ns,40
Engine,Rarity,select-rare.o,,,74861289.0,ns,41
Engine,Rarity,select-rare.o,,,76721752.0,ns,42
Engine,Rarity,select-rare.o,,,78527232.0,ns,43
Engine,Rarity,select-rare.o,,,80333623.0,ns,44
Engine,Rarity,select-rare.o,,,82237035.0,ns,45
Engine,Rarity,select-rare.o,,,84005528.0,ns,46
Engine,Rarity,select-rare.o,,,85820005.0,ns,47
Engine,Rarity,select-rare.o,,,87680068.0,ns,48
Engine,Rarity,select-rare.o,,,89421579.0,ns,49
Engine,Rarity,select-rare.o,,,91313884.0,ns,50
Engine,Rarity,select-rare.o,,,93079904.0,ns,51
Engine,Rarity,select-rare.o,,,95009251.0,ns,52
Engine,Rarity,select-rare.o,,,96803236.0,ns,53
Engine,Rarity,select-rare.o,,,98564251.0,ns,54
Engine,Rarity,select-rare.o,,,100478978.0,ns,55
Engine,Rarity,select-rare.o,,,102288882.0,ns,56
Engine,Rarity,select-rare.o,,,104159393.0,ns,57
Engine,Rarity,select-rare.o,,,105974249.0,ns,58
Engine,Rarity,select-rare.o,,,107724290.0,ns,59
Engine,Rarity,select-rare.o,,,109604079.0,ns,60
Engine,Rarity,select-rare.o,,,111477874.0,ns,61
Engine,Rarity,select-rare.o,,,113243620.0,ns,62
Engine,Rarity,select-rare.o,,,114988777.0,ns,63
Engine,Rarity,select-rare.o,,,116768831.0,ns,64
Engine,Rarity,select-rare.o,,,118768295.0,ns,65
Engine,Rarity,select-rare.o,,,120550829.0,ns,66
Engine,Rarity,select-rare.o,,,122419745.0,ns,67
Engine,Rarity,select-rare.o,,,124185910.0,ns,68
Engine,Rarity,select-rare.o,,,125990326.0,ns,69
Engine,Rarity,select-rare.o,,,127842058.0,ns,70
Engine,Rarity,select-rare.o,,,129707360.0,ns,71
Engine,Rarity,select-rare.o,,,131400130.0,ns,72
Engine,Rarity,select-rare.o,,,133379846.0,ns,73
Engine,Rarity,select-rare.o,,,135099556.0,ns,74
Engine,Rarity,select-rare.o,,,136909102.0,ns,75
Engine,Rarity,select-rare.o,,,138780778.0,ns,76
Engine,Rarity,select-rare.o,,,140711478.0,ns,77
Engine,Rarity,select-rare.o,,,142520339.0,ns,78
Engine,Rarity,select-rare.o,,,144233492.0,ns,79
Engine,Rarity,select-rare.o,,,146182453.0,ns,80
Engine,Rarity,select-rare.o,,,147950946.0,ns,81
Engine,Rarity,select-rare.o,,,149782284.0,ns,82
Engine,Rarity,select-rare.o,,,151605639.0,ns,83
Engine,Rarity,select-rare.o,,,153356992.0,ns,84
Engine,Rarity,select-rare.o,,,155284953.0,ns,85
Engine,Rarity,select-rare.o,,,157043145.0,ns,86
