group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,if-simple.o,,,85912725.0,ns,2
Engine,Z3,if-simple.o,,,85840263.0,ns,2
Engine,Z3,if-simple.o,,,85700054.0,ns,2
Engine,Z3,if-simple.o,,,85870681.0,ns,2
Engine,Z3,if-simple.o,,,85831489.0,ns,2
Engine,Z3,if-simple.o,,,85867005.0,ns,2
Engine,Z3,if-simple.o,,,85933447.0,ns,2
Engine,Z3,if-simple.o,,,85847690.0,ns,2
Engine,Z3,if-simple.o,,,85813958.0,ns,2
Engine,Z3,if-simple.o,,,85851375.0,ns,2
Engine,Z3,if-simple.o,,,85950638.0,ns,2
Engine,Z3,if-simple.o,,,85846090.0,ns,2
Engine,Z3,if-simple.o,,,85901302.0,ns,2
Engine,Z3,if-simple.o,,,85920769.0,ns,2
Engine,Z3,if-simple.o,,,85831022.0,ns,2
Engine,Z3,if-simple.o,,,85773367.0,ns,2
Engine,Z3,if-simple.o,,,85910523.0,ns,2
Engine,Z3,if-simple.o,,,85742414.0,ns,2
Engine,Z3,if-simple.o,,,85909254.0,ns,2
Engine,Z3,if-simple.o,,,85760549.0,ns,2
Engine,Z3,if-simple.o,,,85738516.0,ns,2
Engine,Z3,if-simple.o,,,85805234.0,ns,2
Engine,Z3,if-simple.o,,,85756365.0,ns,2
Engine,Z3,if-simple.o,,,85824035.0,ns,2
Engine,Z3,if-simple.o,,,85784210.0,ns,2
Engine,Z3,if-simple.o,,,85937729.0,ns,2
Engine,Z3,if-simple.o,,,85968437.0,ns,2
Engine,Z3,if-simple.o,,,85941533.0,ns,2
Engine,Z3,if-simple.o,,,85895118.0,ns,2
Engine,Z3,if-simple.o,,,85850098.0,ns,2
Engine,Z3,if-simple.o,,,85810301.0,ns,2
Engine,Z3,if-simple.o,,,85973917.0,ns,2
Engine,Z3,if-simple.o,,,85893392.0,ns,2
Engine,Z3,if-simple.o,,,85799874.0,ns,2
Engine,Z3,if-simple.o,,,85843143.0,ns,2
Engine,Z3,if-simple.o,,,85874854.0,ns,2
Engine,Z3,if-simple.o,,,85839337.0,ns,2
Engine,Z3,if-simple.o,,,85803498.0,ns,2
Engine,Z3,if-simple.o,,,85921930.0,ns,2
Engine,Z3,if-simple.o,,,85875913.0,ns,2
Engine,Z3,if-simple.o,,,85811596.0,ns,2
Engine,Z3,if-simple.o,,,85844061.0,ns,2
Engine,Z3,if-simple.o,,,85901887.0,ns,2
Engine,Z3,if-simple.o,,,85825400.0,ns,2
Engine,Z3,if-simple.o,,,85933733.0,ns,2
Engine,Z3,if-simple.o,,,85857953.0,ns,2
Engine,Z3,if-simple.o,,,85880470.0,ns,2
Engine,Z3,if-simple.o,,,85796140.0,ns,2
Engine,Z3,if-simple.o,,,85820568.0,ns,2
Engine,Z3,if-simple.o,,,85857057.0,ns,2
Engine,Z3,if-simple.o,,,85786896.0,ns,2
Engine,Z3,if-simple.o,,,85898527.0,ns,2
Engine,Z3,if-simple.o,,,85868340.0,ns,2
Engine,Z3,if-simple.o,,,85981329.0,ns,2
Engine,Z3,if-simple.o,,,86003753.0,ns,2
Engine,Z3,if-simple.o,,,85841351.0,ns,2
Engine,Z3,if-simple.o,,,85884131.0,ns,2
Engine,Z3,if-simple.o,,,85844213.0,ns,2
Engine,Z3,if-simple.o,,,85923311.0,ns,2
Engine,Z3,if-simple.o,,,85929592.0,ns,2
