group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,sum01-1.c,,,898316610.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,538853888.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,679697344.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,817328942.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,680719922.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,732399094.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,839084665.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,605589784.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,870142529.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,874723707.0,ns,1
