group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,118003910.0,ns,1
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,235364609.0,ns,2
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,352738735.0,ns,3
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,471146578.0,ns,4
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,589313387.0,ns,5
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,704458203.0,ns,6
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,821645549.0,ns,7
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,936178235.0,ns,8
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,1058794411.0,ns,9
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,1175141377.0,ns,10
