group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1670341.0,ns,1
Engine,Rarity,select-rare.o,,,3354924.0,ns,2
Engine,Rarity,select-rare.o,,,5036583.0,ns,3
Engine,Rarity,select-rare.o,,,6723054.0,ns,4
Engine,Rarity,select-rare.o,,,8383940.0,ns,5
Engine,Rarity,select-rare.o,,,10105405.0,ns,6
Engine,Rarity,select-rare.o,,,11735879.0,ns,7
Engine,Rarity,select-rare.o,,,13401454.0,ns,8
Engine,Rarity,select-rare.o,,,15096495.0,ns,9
Engine,Rarity,select-rare.o,,,16779397.0,ns,10
Engine,Rarity,select-rare.o,,,18438764.0,ns,11
Engine,Rarity,select-rare.o,,,20112769.0,ns,12
Engine,Rarity,select-rare.o,,,21791476.0,ns,13
Engine,Rarity,select-rare.o,,,23599727.0,ns,14
Engine,Rarity,select-rare.o,,,25150847.0,ns,15
Engine,Rarity,select-rare.o,,,26790184.0,ns,16
Engine,Rarity,select-rare.o,,,28494717.0,ns,17
Engine,Rarity,select-rare.o,,,30209617.0,ns,18
Engine,Rarity,select-rare.o,,,31840640.0,ns,19
Engine,Rarity,select-rare.o,,,33506761.0,ns,20
Engine,Rarity,select-rare.o,,,35218171.0,ns,21
Engine,Rarity,select-rare.o,,,36900040.0,ns,22
Engine,Rarity,select-rare.o,,,38578784.0,ns,23
Engine,Rarity,select-rare.o,,,40268777.0,ns,24
Engine,Rarity,select-rare.o,,,41925365.0,ns,25
Engine,Rarity,select-rare.o,,,43619563.0,ns,26
Engine,Rarity,select-rare.o,,,45337830.0,ns,27
Engine,Rarity,select-rare.o,,,46989017.0,ns,28
Engine,Rarity,select-rare.o,,,48621054.0,ns,29
Engine,Rarity,select-rare.o,,,50258536.0,ns,30
Engine,Rarity,select-rare.o,,,52067365.0,ns,31
Engine,Rarity,select-rare.o,,,53678822.0,ns,32
Engine,Rarity,select-rare.o,,,55302870.0,ns,33
Engine,Rarity,select-rare.o,,,57053506.0,ns,34
Engine,Rarity,select-rare.o,,,58748718.0,ns,35
Engine,Rarity,select-rare.o,,,60472176.0,ns,36
Engine,Rarity,select-rare.o,,,62086254.0,ns,37
Engine,Rarity,select-rare.o,,,63797300.0,ns,38
Engine,Rarity,select-rare.o,,,65446330.0,ns,39
Engine,Rarity,select-rare.o,,,67134353.0,ns,40
Engine,Rarity,select-rare.o,,,68874208.0,ns,41
Engine,Rarity,select-rare.o,,,70556802.0,ns,42
Engine,Rarity,select-rare.o,,,72217288.0,ns,43
Engine,Rarity,select-rare.o,,,73801946.0,ns,44
Engine,Rarity,select-rare.o,,,75460215.0,ns,45
Engine,Rarity,select-rare.o,,,77150656.0,ns,46
Engine,Rarity,select-rare.o,,,78881967.0,ns,47
Engine,Rarity,select-rare.o,,,80486901.0,ns,48
Engine,Rarity,select-rare.o,,,82216067.0,ns,49
Engine,Rarity,select-rare.o,,,83913025.0,ns,50
Engine,Rarity,select-rare.o,,,85587242.0,ns,51
Engine,Rarity,select-rare.o,,,87311369.0,ns,52
Engine,Rarity,select-rare.o,,,89046210.0,ns,53
Engine,Rarity,select-rare.o,,,90601642.0,ns,54
Engine,Rarity,select-rare.o,,,92409056.0,ns,55
Engine,Rarity,select-rare.o,,,93924482.0,ns,56
Engine,Rarity,select-rare.o,,,95723282.0,ns,57
Engine,Rarity,select-rare.o,,,97326175.0,ns,58
Engine,Rarity,select-rare.o,,,98926359.0,ns,59
Engine,Rarity,select-rare.o,,,100745725.0,ns,60
Engine,Rarity,select-rare.o,,,102307388.0,ns,61
Engine,Rarity,select-rare.o,,,104037187.0,ns,62
Engine,Rarity,select-rare.o,,,105720230.0,ns,63
Engine,Rarity,select-rare.o,,,107398737.0,ns,64
Engine,Rarity,select-rare.o,,,108902888.0,ns,65
Engine,Rarity,select-rare.o,,,110714838.0,ns,66
Engine,Rarity,select-rare.o,,,112434553.0,ns,67
Engine,Rarity,select-rare.o,,,114119909.0,ns,68
Engine,Rarity,select-rare.o,,,115805475.0,ns,69
Engine,Rarity,select-rare.o,,,117473482.0,ns,70
Engine,Rarity,select-rare.o,,,119126085.0,ns,71
Engine,Rarity,select-rare.o,,,120800844.0,ns,72
Engine,Rarity,select-rare.o,,,122643372.0,ns,73
Engine,Rarity,select-rare.o,,,124089704.0,ns,74
Engine,Rarity,select-rare.o,,,125690537.0,ns,75
Engine,Rarity,select-rare.o,,,127566113.0,ns,76
Engine,Rarity,select-rare.o,,,129285832.0,ns,77
Engine,Rarity,select-rare.o,,,130867453.0,ns,78
Engine,Rarity,select-rare.o,,,132569922.0,ns,79
Engine,Rarity,select-rare.o,,,134169203.0,ns,80
Engine,Rarity,select-rare.o,,,135896263.0,ns,81
Engine,Rarity,select-rare.o,,,137617712.0,ns,82
Engine,Rarity,select-rare.o,,,139265082.0,ns,83
Engine,Rarity,select-rare.o,,,141023224.0,ns,84
Engine,Rarity,select-rare.o,,,142739207.0,ns,85
Engine,Rarity,select-rare.o,,,144230758.0,ns,86
Engine,Rarity,select-rare.o,,,146138531.0,ns,87
Engine,Rarity,select-rare.o,,,147656874.0,ns,88
Engine,Rarity,select-rare.o,,,149370984.0,ns,89
Engine,Rarity,select-rare.o,,,151041788.0,ns,90
Engine,Rarity,select-rare.o,,,152704909.0,ns,91
Engine,Rarity,select-rare.o,,,154462651.0,ns,92
Engine,Rarity,select-rare.o,,,155991186.0,ns,93
Engine,Rarity,select-rare.o,,,157664420.0,ns,94
Engine,Rarity,select-rare.o,,,159497571.0,ns,95
Engine,Rarity,select-rare.o,,,161166974.0,ns,96
Engine,Rarity,select-rare.o,,,162821988.0,ns,97
Engine,Rarity,select-rare.o,,,164557790.0,ns,98
Engine,Rarity,select-rare.o,,,166212995.0,ns,99
Engine,Rarity,select-rare.o,,,167833080.0,ns,100
