group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,multiple-read.c,,,94249835.0,ns,4
Path Exploration Strategies,Coin Flip,multiple-read.c,,,188505772.0,ns,8
Path Exploration Strategies,Coin Flip,multiple-read.c,,,282549147.0,ns,12
Path Exploration Strategies,Coin Flip,multiple-read.c,,,376928635.0,ns,16
Path Exploration Strategies,Coin Flip,multiple-read.c,,,471113328.0,ns,20
Path Exploration Strategies,Coin Flip,multiple-read.c,,,565536501.0,ns,24
Path Exploration Strategies,Coin Flip,multiple-read.c,,,659598391.0,ns,28
Path Exploration Strategies,Coin Flip,multiple-read.c,,,753972455.0,ns,32
Path Exploration Strategies,Coin Flip,multiple-read.c,,,847531586.0,ns,36
Path Exploration Strategies,Coin Flip,multiple-read.c,,,942621956.0,ns,40
