group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,120646440.0,ns,1
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,240657611.0,ns,2
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,363032495.0,ns,3
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,484864776.0,ns,4
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,604551707.0,ns,5
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,725546579.0,ns,6
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,848827591.0,ns,7
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,965699108.0,ns,8
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,1092498058.0,ns,9
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,1208491502.0,ns,10
