group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,116039292.0,ns,3
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,232136424.0,ns,6
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,348134627.0,ns,9
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,464223559.0,ns,12
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,580646597.0,ns,15
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,696874497.0,ns,18
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,812581705.0,ns,21
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,929552146.0,ns,24
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,1044319196.0,ns,27
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,1161150228.0,ns,30
