group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,select-rare.o,,,1284186.0,ns,3
Engine,Monster,select-rare.o,,,2845449.0,ns,6
Engine,Monster,select-rare.o,,,4012437.0,ns,9
Engine,Monster,select-rare.o,,,5276391.0,ns,12
Engine,Monster,select-rare.o,,,6518803.0,ns,15
Engine,Monster,select-rare.o,,,8089762.0,ns,18
Engine,Monster,select-rare.o,,,9123760.0,ns,21
Engine,Monster,select-rare.o,,,10664145.0,ns,24
Engine,Monster,select-rare.o,,,11915450.0,ns,27
Engine,Monster,select-rare.o,,,13312194.0,ns,30
Engine,Monster,select-rare.o,,,14700275.0,ns,33
Engine,Monster,select-rare.o,,,15836705.0,ns,36
Engine,Monster,select-rare.o,,,16948118.0,ns,39
Engine,Monster,select-rare.o,,,18426474.0,ns,42
Engine,Monster,select-rare.o,,,20127493.0,ns,45
Engine,Monster,select-rare.o,,,21311165.0,ns,48
Engine,Monster,select-rare.o,,,22901117.0,ns,51
Engine,Monster,select-rare.o,,,23764900.0,ns,54
Engine,Monster,select-rare.o,,,25221771.0,ns,57
Engine,Monster,select-rare.o,,,26734681.0,ns,60
Engine,Monster,select-rare.o,,,27792201.0,ns,63
Engine,Monster,select-rare.o,,,29526272.0,ns,66
Engine,Monster,select-rare.o,,,30796955.0,ns,69
Engine,Monster,select-rare.o,,,32024883.0,ns,72
Engine,Monster,select-rare.o,,,33545674.0,ns,75
Engine,Monster,select-rare.o,,,34675667.0,ns,78
Engine,Monster,select-rare.o,,,36133927.0,ns,81
Engine,Monster,select-rare.o,,,37789898.0,ns,84
Engine,Monster,select-rare.o,,,39117375.0,ns,87
Engine,Monster,select-rare.o,,,39769386.0,ns,90
Engine,Monster,select-rare.o,,,41946139.0,ns,93
Engine,Monster,select-rare.o,,,42834838.0,ns,96
Engine,Monster,select-rare.o,,,44189869.0,ns,99
Engine,Monster,select-rare.o,,,45630287.0,ns,102
Engine,Monster,select-rare.o,,,47114635.0,ns,105
Engine,Monster,select-rare.o,,,47751734.0,ns,108
Engine,Monster,select-rare.o,,,49408971.0,ns,111
Engine,Monster,select-rare.o,,,51116543.0,ns,114
Engine,Monster,select-rare.o,,,52568068.0,ns,117
Engine,Monster,select-rare.o,,,53333583.0,ns,120
Engine,Monster,select-rare.o,,,55191233.0,ns,123
Engine,Monster,select-rare.o,,,56735987.0,ns,126
Engine,Monster,select-rare.o,,,57548022.0,ns,129
Engine,Monster,select-rare.o,,,59294880.0,ns,132
Engine,Monster,select-rare.o,,,60365724.0,ns,135
Engine,Monster,select-rare.o,,,61537165.0,ns,138
Engine,Monster,select-rare.o,,,62789176.0,ns,141
Engine,Monster,select-rare.o,,,64245481.0,ns,144
Engine,Monster,select-rare.o,,,65697178.0,ns,147
Engine,Monster,select-rare.o,,,66619348.0,ns,150
Engine,Monster,select-rare.o,,,68201904.0,ns,153
Engine,Monster,select-rare.o,,,69258798.0,ns,156
Engine,Monster,select-rare.o,,,71146461.0,ns,159
Engine,Monster,select-rare.o,,,72468850.0,ns,162
Engine,Monster,select-rare.o,,,73834445.0,ns,165
Engine,Monster,select-rare.o,,,74775275.0,ns,168
Engine,Monster,select-rare.o,,,76198242.0,ns,171
Engine,Monster,select-rare.o,,,77383829.0,ns,174
Engine,Monster,select-rare.o,,,78784259.0,ns,177
Engine,Monster,select-rare.o,,,80241220.0,ns,180
Engine,Monster,select-rare.o,,,82060186.0,ns,183
Engine,Monster,select-rare.o,,,83321660.0,ns,186
Engine,Monster,select-rare.o,,,84262610.0,ns,189
Engine,Monster,select-rare.o,,,85881545.0,ns,192
Engine,Monster,select-rare.o,,,87084029.0,ns,195
Engine,Monster,select-rare.o,,,88712183.0,ns,198
Engine,Monster,select-rare.o,,,89415466.0,ns,201
Engine,Monster,select-rare.o,,,91020432.0,ns,204
