group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,if-simple.o,,,1376755.0,ns,4
Engine,Rarity,if-simple.o,,,2322053.0,ns,8
Engine,Rarity,if-simple.o,,,3563128.0,ns,12
Engine,Rarity,if-simple.o,,,4627809.0,ns,16
Engine,Rarity,if-simple.o,,,6466418.0,ns,20
Engine,Rarity,if-simple.o,,,6931071.0,ns,24
Engine,Rarity,if-simple.o,,,8304486.0,ns,28
Engine,Rarity,if-simple.o,,,9869388.0,ns,32
Engine,Rarity,if-simple.o,,,11116533.0,ns,36
Engine,Rarity,if-simple.o,,,12109355.0,ns,40
Engine,Rarity,if-simple.o,,,13824083.0,ns,44
Engine,Rarity,if-simple.o,,,14645001.0,ns,48
Engine,Rarity,if-simple.o,,,15471445.0,ns,52
Engine,Rarity,if-simple.o,,,16811488.0,ns,56
Engine,Rarity,if-simple.o,,,18233747.0,ns,60
Engine,Rarity,if-simple.o,,,20320544.0,ns,64
Engine,Rarity,if-simple.o,,,20323940.0,ns,68
Engine,Rarity,if-simple.o,,,21445517.0,ns,72
Engine,Rarity,if-simple.o,,,23527957.0,ns,76
Engine,Rarity,if-simple.o,,,23634507.0,ns,80
Engine,Rarity,if-simple.o,,,25525715.0,ns,84
Engine,Rarity,if-simple.o,,,25531419.0,ns,88
Engine,Rarity,if-simple.o,,,27339464.0,ns,92
Engine,Rarity,if-simple.o,,,28026473.0,ns,96
Engine,Rarity,if-simple.o,,,29944364.0,ns,100
Engine,Rarity,if-simple.o,,,31017118.0,ns,104
Engine,Rarity,if-simple.o,,,32214053.0,ns,108
Engine,Rarity,if-simple.o,,,32965927.0,ns,112
Engine,Rarity,if-simple.o,,,33401274.0,ns,116
Engine,Rarity,if-simple.o,,,36123643.0,ns,120
Engine,Rarity,if-simple.o,,,38054924.0,ns,124
Engine,Rarity,if-simple.o,,,38964262.0,ns,128
Engine,Rarity,if-simple.o,,,41706620.0,ns,132
Engine,Rarity,if-simple.o,,,40822082.0,ns,136
Engine,Rarity,if-simple.o,,,41713722.0,ns,140
Engine,Rarity,if-simple.o,,,42414361.0,ns,144
Engine,Rarity,if-simple.o,,,44760307.0,ns,148
Engine,Rarity,if-simple.o,,,46200851.0,ns,152
Engine,Rarity,if-simple.o,,,46967181.0,ns,156
Engine,Rarity,if-simple.o,,,50291203.0,ns,160
Engine,Rarity,if-simple.o,,,49148176.0,ns,164
Engine,Rarity,if-simple.o,,,49734833.0,ns,168
Engine,Rarity,if-simple.o,,,50296593.0,ns,172
Engine,Rarity,if-simple.o,,,53715370.0,ns,176
Engine,Rarity,if-simple.o,,,52984726.0,ns,180
Engine,Rarity,if-simple.o,,,55881685.0,ns,184
Engine,Rarity,if-simple.o,,,57828999.0,ns,188
Engine,Rarity,if-simple.o,,,58623378.0,ns,192
Engine,Rarity,if-simple.o,,,59653916.0,ns,196
Engine,Rarity,if-simple.o,,,60217463.0,ns,200
Engine,Rarity,if-simple.o,,,59889746.0,ns,204
Engine,Rarity,if-simple.o,,,64088157.0,ns,208
Engine,Rarity,if-simple.o,,,62659857.0,ns,212
Engine,Rarity,if-simple.o,,,64282304.0,ns,216
Engine,Rarity,if-simple.o,,,65506780.0,ns,220
Engine,Rarity,if-simple.o,,,67282041.0,ns,224
Engine,Rarity,if-simple.o,,,68638064.0,ns,228
Engine,Rarity,if-simple.o,,,69307021.0,ns,232
Engine,Rarity,if-simple.o,,,69991135.0,ns,236
Engine,Rarity,if-simple.o,,,72467307.0,ns,240
