group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,106799497.0,ns,6
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,214092826.0,ns,12
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,320906552.0,ns,18
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,427881258.0,ns,24
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,534783278.0,ns,30
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,641808232.0,ns,36
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,748834814.0,ns,42
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,855737808.0,ns,48
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,961897137.0,ns,54
Path Exploration Strategies,Coin Flip,memory-invalid-read.c,,,1068891667.0,ns,60
