group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1019345173.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1019942407.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1020149830.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1020918270.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1019568908.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1019644065.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1020094691.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1020097809.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1120344341.0,ns,2
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1463944649.0,ns,2
