group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,multiple-read.c,,,91768999.0,ns,4
Path Exploration Strategies,Shortest Path,multiple-read.c,,,183498762.0,ns,8
Path Exploration Strategies,Shortest Path,multiple-read.c,,,275484099.0,ns,12
Path Exploration Strategies,Shortest Path,multiple-read.c,,,367019549.0,ns,16
Path Exploration Strategies,Shortest Path,multiple-read.c,,,458919753.0,ns,20
Path Exploration Strategies,Shortest Path,multiple-read.c,,,550577428.0,ns,24
Path Exploration Strategies,Shortest Path,multiple-read.c,,,642369274.0,ns,28
Path Exploration Strategies,Shortest Path,multiple-read.c,,,734288929.0,ns,32
Path Exploration Strategies,Shortest Path,multiple-read.c,,,826017118.0,ns,36
Path Exploration Strategies,Shortest Path,multiple-read.c,,,917769957.0,ns,40
