group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,demonstration.o,,,1080079.0,ns,5
Engine,Monster,demonstration.o,,,2185793.0,ns,10
Engine,Monster,demonstration.o,,,3298006.0,ns,15
Engine,Monster,demonstration.o,,,4324476.0,ns,20
Engine,Monster,demonstration.o,,,5395235.0,ns,25
Engine,Monster,demonstration.o,,,6591125.0,ns,30
Engine,Monster,demonstration.o,,,7542911.0,ns,35
Engine,Monster,demonstration.o,,,8724977.0,ns,40
Engine,Monster,demonstration.o,,,9885813.0,ns,45
Engine,Monster,demonstration.o,,,10914929.0,ns,50
Engine,Monster,demonstration.o,,,11962145.0,ns,55
Engine,Monster,demonstration.o,,,13144424.0,ns,60
Engine,Monster,demonstration.o,,,14208689.0,ns,65
Engine,Monster,demonstration.o,,,15265465.0,ns,70
Engine,Monster,demonstration.o,,,16269560.0,ns,75
Engine,Monster,demonstration.o,,,17398514.0,ns,80
Engine,Monster,demonstration.o,,,18577880.0,ns,85
Engine,Monster,demonstration.o,,,19566550.0,ns,90
Engine,Monster,demonstration.o,,,20654365.0,ns,95
Engine,Monster,demonstration.o,,,21892347.0,ns,100
Engine,Monster,demonstration.o,,,22886048.0,ns,105
Engine,Monster,demonstration.o,,,24004794.0,ns,110
Engine,Monster,demonstration.o,,,25009782.0,ns,115
Engine,Monster,demonstration.o,,,26073213.0,ns,120
Engine,Monster,demonstration.o,,,27243882.0,ns,125
Engine,Monster,demonstration.o,,,28328671.0,ns,130
Engine,Monster,demonstration.o,,,29459271.0,ns,135
Engine,Monster,demonstration.o,,,30645096.0,ns,140
Engine,Monster,demonstration.o,,,31667894.0,ns,145
Engine,Monster,demonstration.o,,,32784773.0,ns,150
Engine,Monster,demonstration.o,,,33645135.0,ns,155
Engine,Monster,demonstration.o,,,34808758.0,ns,160
Engine,Monster,demonstration.o,,,36026027.0,ns,165
Engine,Monster,demonstration.o,,,36966135.0,ns,170
Engine,Monster,demonstration.o,,,38303448.0,ns,175
Engine,Monster,demonstration.o,,,39133449.0,ns,180
Engine,Monster,demonstration.o,,,40464417.0,ns,185
Engine,Monster,demonstration.o,,,41307396.0,ns,190
Engine,Monster,demonstration.o,,,42343496.0,ns,195
Engine,Monster,demonstration.o,,,43574741.0,ns,200
Engine,Monster,demonstration.o,,,44913245.0,ns,205
Engine,Monster,demonstration.o,,,45654070.0,ns,210
Engine,Monster,demonstration.o,,,46731744.0,ns,215
Engine,Monster,demonstration.o,,,47806114.0,ns,220
Engine,Monster,demonstration.o,,,48971482.0,ns,225
Engine,Monster,demonstration.o,,,49923682.0,ns,230
Engine,Monster,demonstration.o,,,51156798.0,ns,235
Engine,Monster,demonstration.o,,,52140439.0,ns,240
Engine,Monster,demonstration.o,,,53522727.0,ns,245
Engine,Monster,demonstration.o,,,54516341.0,ns,250
Engine,Monster,demonstration.o,,,55597376.0,ns,255
Engine,Monster,demonstration.o,,,56718243.0,ns,260
Engine,Monster,demonstration.o,,,58438082.0,ns,265
Engine,Monster,demonstration.o,,,58739295.0,ns,270
Engine,Monster,demonstration.o,,,59918586.0,ns,275
Engine,Monster,demonstration.o,,,61221474.0,ns,280
Engine,Monster,demonstration.o,,,62342186.0,ns,285
Engine,Monster,demonstration.o,,,63024538.0,ns,290
Engine,Monster,demonstration.o,,,64501459.0,ns,295
Engine,Monster,demonstration.o,,,65303332.0,ns,300
Engine,Monster,demonstration.o,,,66592053.0,ns,305
Engine,Monster,demonstration.o,,,67595205.0,ns,310
Engine,Monster,demonstration.o,,,68410714.0,ns,315
Engine,Monster,demonstration.o,,,69885272.0,ns,320
Engine,Monster,demonstration.o,,,70941525.0,ns,325
Engine,Monster,demonstration.o,,,72030231.0,ns,330
Engine,Monster,demonstration.o,,,72808619.0,ns,335
