group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,long-loop-fixed.o,,,61749720.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61689920.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61766883.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61701137.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61575809.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61716520.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61689703.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61867446.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61737879.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61813930.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61707347.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61847644.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61810805.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61712617.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61677333.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61761561.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61719827.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61725086.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61752216.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61663669.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61746562.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61668495.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61672556.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61654676.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61794177.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61703025.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61747164.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61615115.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61777746.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61804857.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61774045.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61778769.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61700187.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61683113.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61820626.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61681816.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61653565.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61772502.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61825313.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61907210.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61633072.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61672262.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61701243.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61829616.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61695721.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61764331.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61849647.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61798854.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61858139.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61756894.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61880101.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61789933.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61794286.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61650069.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61779275.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61730238.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61652893.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61661589.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61684448.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61669753.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61655222.0,ns,1
Engine,Z3,long-loop-fixed.o,,,61657565.0,ns,1
