group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28320379412.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28366947826.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28425960827.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28438248477.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28397329457.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28421988351.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28503803763.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28364322058.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28410961576.0,ns,1
Path Exploration Strategies,Shortest Path,nested-recursion-1-35.c,,,28402323468.0,ns,1
